1	_hyponym
2	_hyponym-inv
3	_derivationally_related_form
4	_derivationally_related_form-inv
5	_hypernym
6	_hypernym-inv
7	_member_of_domain_topic
8	_member_of_domain_topic-inv
9	_member_meronym
10	_member_meronym-inv
11	_member_of_domain_usage
12	_member_of_domain_usage-inv
13	_synset_domain_topic_of
14	_synset_domain_topic_of-inv
15	_has_part
16	_has_part-inv
17	_also_see
18	_also_see-inv
19	_part_of
20	_part_of-inv
21	_verb_group
22	_verb_group-inv
23	_member_holonym
24	_member_holonym-inv
25	_member_of_domain_region
26	_member_of_domain_region-inv
27	_instance_hyponym
28	_instance_hyponym-inv
29	_similar_to
30	_similar_to-inv
31	_instance_hypernym
32	_instance_hypernym-inv
33	_synset_domain_usage_of
34	_synset_domain_usage_of-inv
35	_synset_domain_region_of
36	_synset_domain_region_of-inv
