_hyponym	_hyponym-inv
_derivationally_related_form	_derivationally_related_form-inv
_hypernym	_hypernym-inv
_member_of_domain_topic	_member_of_domain_topic-inv
_member_meronym	_member_meronym-inv
_member_of_domain_usage	_member_of_domain_usage-inv
_synset_domain_topic_of	_synset_domain_topic_of-inv
_has_part	_has_part-inv
_also_see	_also_see-inv
_part_of	_part_of-inv
_verb_group	_verb_group-inv
_member_holonym	_member_holonym-inv
_member_of_domain_region	_member_of_domain_region-inv
_instance_hyponym	_instance_hyponym-inv
_similar_to	_similar_to-inv
_instance_hypernym	_instance_hypernym-inv
_synset_domain_usage_of	_synset_domain_usage_of-inv
_synset_domain_region_of	_synset_domain_region_of-inv
